name,P_c,T_c,V_c,rho_c
Bicyclo[1.1.0]butane,-1,-1,-1,-1
1-Butyne,46,440,0.208,4.8
2-Butyne,-1,-1,-1,-1
"1,2-Butadiene",-1,-1,-1,-1
"1,3-Butadiene",43.2,425,0.221,4.53
Cyclobutene,-1,-1,-1,-1
Methylenecyclopropane,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
Ethyl isocyanide,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
Propanenitrile,42.6,561.3,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
2-Propenal,-1,-1,-1,-1
,-1,-1,-1,-1
Propargyl alcohol,-1,-1,-1,-1
Aminoacetonitrile,-1,-1,-1,-1
,-1,-1,-1,-1
,-1,-1,-1,-1
1-Butene,40.2,419.5,0.2408,4.15
,-1,-1,-1,-1
Cyclobutane,-1,-1,-1,-1
Methylcyclopropane,-1,-1,-1,-1
,-1,-1,-1,-1
"Acetonitrile, hydroxy-",-1,-1,-1,-1
,-1.0,-1.0,-1.0,-1.0
